id	short_content	full_content	authors	date	affiliations
204	Méta-règles pour la génération de règles négatives	Méta-règles pour la génération de règles négatives La littérature s'est beaucoup intéressée à l'extraction de règles classiques(ou positives) et peu à l'extraction des règles négatives en raison essentiellementd'une part, du coût de calculs et d'autre part, du nombre prohibitif derègles redondantes et inintéressantes extraites. La démarche que nous avons retenueest de dégager les règles négatives lors de l'extraction des règles positives,et pour cela, nous recherchons les règles négatives que l'on peut inférer ou pas àpartir de la pertinence d'une règle positive. Ces différentes inférences vont êtreformalisées par un ensemble de méta-règles.	Sylvie Guillaume, Pierre-Antoine Papon	2012	@isima.fr, @isima.fr
205	Modèle de supervision d'interactions non-intrusif basé sur les ontologies	Modèle de supervision d'interactions non-intrusif basé sur les ontologies L'automatisation et la supervision des systèmes pervasifs est à l'heureactuelle principalement basée sur l'utilisation massive de capteurs distribuésdans l'environnement. Dans cet article, nous proposons un modèle de supervisiond'interactions basé sur l'analyse sémantique des logs domotiques (commandesémises par l'utilisateur), visant à limiter l'utilisation de ces capteurs :le principe est d'utiliser des outils d'inférences avancés, afin de déduire les informationshabituellement captées. Pour cela, une ontologie, automatiquementdérivée d'un processus dirigé par les modèles, définit les interactions utilisateursystème.L'utilisation d'un système de règles permet ensuite d'inférer des informationssur la localisation et l'intention de l'utilisateur, dans le but de réaliserdu monitoring et de proposer des services domotiques adaptés.	Willy Allègre, Thomas Burger, Pascal Berruet, Jean-Yves Antoine	2012	@univ-ubs.fr
206	Prétraitement Supervisé des Variables Numériques pour la Fouille de Données Multi-Tables	Prétraitement Supervisé des Variables Numériques pour la Fouille de Données Multi-Tables Le prétraitement des variables numériques dans le contexte de lafouille de données multi-tables diffère de celui des données classiques individuvariable.La difficulté vient principalement des relations un-à-plusieurs où lesindividus de la table cible sont potentiellement associés à plusieurs enregistrementsdans des tables secondaires. Dans cet article, nous décrivons une méthodede discrétisation des variables numériques situées dans des tables secondaires.Nous proposons un critère qui évalue les discrétisations candidates pour ce typede variables. Nous décrivons un algorithme d'optimisation simple qui permetd'obtenir la meilleure discrétisation en intervalles de fréquence égale pour lecritère proposé. L'idée est de projeter dans la table cible l'information contenuedans chaque variable secondaire à l'aide d'un vecteur d'attributs (un attributpar intervalle de discrétisation). Chaque attribut représente le nombre de valeursde la variable secondaire appartenant à l'intervalle correspondant. Ces attributsd'effectifs sont conjointement partitionnés à l'aide de modèles en grille de donnéesafin d'obtenir une meilleure séparation des valeurs de la classe. Des expérimentationssur des jeux de données réelles et artificielles révèlent que l'approchede discrétisation permet de découvrir des variables secondaires pertinentes.	Dhafer Lahbib, Marc Boullé, Dominique Laurent	2012	@orange-ftgroup.com, @orange-ftgroup.com, @u-cergy.fr
207	Raisonner sur une ontologie cartographique pour concevoir des légendes de cartes	Raisonner sur une ontologie cartographique pour concevoir des légendes de cartes Concevoir une carte géographique, plus particulièrement sa légende,exige des compétences spécifiques. L'objectif de ce papier est de présenter unebase de connaissances destinée à aider tout utilisateur à concevoir une ou plusieurslégendes adaptées à son besoin et conformes aux règles de cartographie.La base de connaissances est formée d'une ontologie de la cartographie nomméeOntoCarto, d'un corpus de règles : OntoCartoRules et d'un moteur de raisonnement: Corese. Dans ce papier, chaque demande de conception de légende estvue comme une instanciation particulière de l'ontologie, associée à une sélectionde règles pertinentes dans le corpus de règles, sur laquelle Corese va raisonnerpour construire des légendes adaptées à la configuration spécifique traitée. Laconception de la légende s'appuie sur la définition de deux hiérarchies d'objetsgéographiques et cartographiques. Les principes de fonctionnement de Coresesont présentés. Un prototype a été implémenté et des extraits des résultats sontmontrés.	Catherine Dominguès, Olivier Corby, Fayrouz Soualah-Alila	2012	@ign.fr, @sophia.inria.fr, @yahoo.fr
208	Recherche d'Information Agrégée dans des documents XML basée sur les Réseaux Bayésiens	Recherche d'Information Agrégée dans des documents XML basée sur les Réseaux Bayésiens Dans cet article, nous nous intéressons à la recherche agrégée dansdes documents XML. Pour cela, nous proposons un modèle basé sur les réseauxbayésiens. Les relations de dépendances entre requête-termes d'indexation ettermes d'indexation-éléments sont quantifiées par des mesures de probabilité.Dans ce modèle, la requête de l'utilisateur déclenche un processus de propagationpour trouver des éléments. Ainsi, au lieu de récupérer une liste des élémentsqui sont susceptibles de répondre à la requête, notre objectif est d'agréger dansun agrégat des éléments pertinents, non-redondants et complémentaires. Nousavons évalué notre approche dans le cadre de la compagne d'évaluation INEX2009 et avons présenté quelques résultats expérimentaux mettant en évidencel'impact de l'agrégation de tels éléments.	Najeh Naffakhi, Mohand Boughanem, Rim Faiz	2012	@irit.fr, @irit.fr, @isg.rnu.tn, @ihec.rnu.tn
209	Réorganisation hiérarchique de visualisations dans OLAP	Réorganisation hiérarchique de visualisations dans OLAP "Dans cet article nous proposons un nouvel algorithme pour la réorganisationhiérarchique des cubes OLAP (On-Line Analytical Processing) ayantpour objectif d'améliorer leur visualisation. Cet algorithme se caractérise par lefait qu'il peut traiter des dimensions organisées hiérarchiquement et optimiserconjointement les dimensions du cube, contrairement aux autres approches. Ilutilise un algorithme génétique qui réorganise des arbres n-aires quelconques. Ila été intégré dans une interface OLAP puis testé en comparaison avec d'autresapproches de réorganisation, et fournit des résultats très positifs. A ce titre,nous avons également généralisé l'algorithme heuristique classique BEA (""bondenergy algorithm"") au cas de hiérarchies OLAP. Enfin, notre approche a été évaluéepar des utilisateurs et les résultats soulignent l'intérêt de la réorganisationdans des exemples de tâches à résoudre pour OLAP."	Sébastien Lafon, Fatma Bouali, Christiane Guinot, Gilles Venturini	2012	@univ-tours.fr, @univ-lille2.fr, @ceries-lab.com
210	RICSH : Recherche d'information contextuelle par segmentation thématique de documents	RICSH : Recherche d'information contextuelle par segmentation thématique de documents Le but principal des systèmes de recherche d'informations (SRI) classiquesest de retrouver dans un corpus de documents l'information considéréecomme pertinente pour une requête utilisateur. Cette pertinence est souvent liéeà la fréquence d'apparition des termes dans le texte par rapport au corpus sanstenir compte du contexte de la recherche. Partant de ce constat, nous proposonsdans cet article une approche pour la recherche d'information contextuelle parsegmentation thématique de documents (RICSH). Cette approche s'appuie surla méthode de pondération tf-idf que nous avons adaptée dans notre cas pourindexer le corpus. Cette adaptation se situe au niveau de l'importance du termeet de son pouvoir de discrimination par rapport aux fragments de textes et nonau corpus. Ces fragments sont obtenus grâce à un processus d'identification desunités thématiques les plus pertinentes pour chaque document.	Fadila Bentayeb, Omar Boussaid, Rachid Aknouche	2012	@univ-lyon2.fr
211	Sélection Bayésienne de Modèles avec Prior Dépendant des Données	Sélection Bayésienne de Modèles avec Prior Dépendant des Données Cet article analyse la consistance asymptotique des modèles en grilleappliqués à l'estimation de densité jointe de deux variables catégorielles. Lesmodèles en grille considèrent un partitionnement des valeurs de chacune des variables,le produit Cartésien des partitions formant une grille dont les cellulespermettent de résumer la table de contingence des deux variables. Le meilleurmodèle de co-partitionnement est recherché au moyen d'une approche MAP(maximum a posteriori), présentant la particularité peu orthodoxe d'exploiterune famille de modèles et une distribution a priori de ces modèles qui dépendentdes données. Ces modèles sont par nature des modèles de l'échantillon d'apprentissage,et non de la distribution sous-jacente. Nous démontrons la consistancede l'approche, qui se comporte comme un estimateur universel de densité jointeconvergeant asymptotiquement vers la vraie distribution jointe.	Marc Boullé	2012	@orange.com
212	Structuration des décisions de jurisprudence basée sur une ontologie juridique en langue arabe	Structuration des décisions de jurisprudence basée sur une ontologie juridique en langue arabe L'informatique juridique, est un domaine en évolution constante. Lecontexte général de notre travail est l'élaboration d'un système de recherchede jurisprudence tunisienne en langue arabe. L'objectif opérationnel de ce systèmeest de fournir une aide aux juristes pour résoudre une situation juridiquedonnée en mettant à leur disposition une collection de situations similaires cequi améliorera leur raisonnement futur. Une ontologie du domaine juridiqueconstruite à partir des documents des décisions juridiques est nécessaire dansnotre contexte.Cette ontologie a pour but : (i) la structuration des décisions, (ii)la formulation des requêtes d'interrogation de la base des décisions, et (iii) larecherche des décisions. Dans cet article, nous présentons l'architecture de notresystème de recherche de jurisprudence. Nous nous focalisons sur l'ontologie dudomaine de jurisprudence que nous avons élaborée, aisni que sur le module destructuration des décisions.	Karima Dhouib, Sylvie Desprès, Faïez Gargouri	2012	@isets.rnu.tn, @univ-paris13.fr, @fsegs.rnu.tn
213	SweetDeki : le wiki sémantique couteau suisse du réseau social ISICIL	SweetDeki : le wiki sémantique couteau suisse du réseau social ISICIL Le projet ANR ISICIL 1 mixe les nouvelles applications virales duweb avec des représentations formelles et des processus d'entreprise pour les intégrerdans les pratiques de veille en entreprise. Les outils développés s'appuientsur les interfaces avancées des applications du web 2.0 (blog, wiki, social bookmarking,extensions de navigateurs) pour les interactions et sur les technologiesdu web sémantique pour l'interopérabilité et le traitement de l'information. Leprésent article décrit plus précisément le wiki sémantique développé dans lecadre de ce projet et son intégration au coeur du framework ISICIL	Michel Buffa, Guillaume Husson, Nicolas Delaforge	2012	@i3s.unice.fr, @i3s.unice.fr, @inria.fr
214	TMD-MINER : Une nouvelle approche pour la détection des diffuseurs dans un système communautaire	TMD-MINER : Une nouvelle approche pour la détection des diffuseurs dans un système communautaire Plusieurs méthodes ont été développées ces dernières années pour détecter,dans un réseau social, les membres qualifiés, selon les auteurs, d'influenceurs,de médiateurs, d'ambassadeurs ou encore d'experts. Dans cet article, nousproposons un nouveau cadre méthodologique permettant d'identifier des diffuseursdans le contexte où seule l'information sur l'appartenance des membres duréseau à des communautés est disponible. Ce cadre, basé sur une représentationdu réseau sous forme d'hypergraphe, nous a permis de formaliser la notion dediffuseur et d'introduire l'algorithme TMD-MINER, dédié à la détection des diffuseurset basé sur les itemsets essentiels.	Mohamed Nidhal Jelassi, Christine Largeron, Sadok Ben Yahia	2012	@univ-st-etienne.fr, @fst.rnu.tn
215	Transformation de l'espace de description pour l'apprentissage par transfert	Transformation de l'espace de description pour l'apprentissage par transfert "Dans ce papier, nous proposons une étude sur l'utilisation de l'apprentissagetopologique pondéré et les méthodes de factorisation matricielle pourtransformer l'espace de représentation d'un jeu de données ""sparse"" afin d'augmenterla qualité de l'apprentissage, et de l'adapter au cas de l'apprentissagepar transfert. La factorisation matricielle nous permet de trouver des variableslatentes et l'apprentissage topologique pondéré est utilisé pour détecter les pluspertinentes parmi celles-ci. La représentation de nouvelles données est basée surleurs projections sur le modèle topologique pondéré.Pour l'apprentissage par transfert, nous proposons une nouvelle méthode où lareprésentation des données est faite de la même manière que dans la premièrephase, mais en utilisant un modèle topologique élagué.Les expérimentations sont présentées dans le cadre d'un Challenge Internationaloù nous avons obtenu des résultats prometteurs (5ieme rang de la compétitioninternationale).1 Introduction"	Nistor Grozavu, Younès Bennani, Lazhar Labiod	2012	@lipn.univ-paris13.fr, @parisdescartes.fr
216	Un algorithme de classification automatique pour des données relationnelles multi-vues	Un algorithme de classification automatique pour des données relationnelles multi-vues classification automatique (De Carvalho et al., 2012) capable de partitionnerdes objets en prenant en compte de manière simultanée plusieurs matricesde dissimilarité qui les décrivent. Ces matrices peuvent avoir été généréesen utilisant différents ensembles de variables et de fonctions de dissimilarité.Cette méthode, basée sur l'algorithme de nuées dynamiques est conçu pour fournirune partition et un prototype pour chaque classe tout en découvrant une pondérationpertinante pour chaque matrice de dissimilarité en optimisant un critèred'adéquation entre les classes et leurs représentants. Ces pondérations changentà chaque itération de l'algorithme et sont différentes pour chacune des classes.Nous présentons aussi plusieurs outils d'aide à l'interprétation des groupes et dela partition fournie par cette nouvelle méthode. Deux exemples illustrent l'interêtde la méthode. Le premier utilise des données concernant des chiffres manuscrits(0 à 9) numérisés en images binaires provenant de l'UCI. Le second utilise unensemble de rapports dont nous connaissons une classification experte donnée àpriori.	Francisco de Assis Tenório de Carvalho, Filipe M. de Melo, Yves Lechevallier, Thierry Despeyroux	2012	@cin.ufpe.br, @inria.fr
217	Un assistant utilisateur pour le choix et le paramétrage des méthodes de fouille visuelle de données	Un assistant utilisateur pour le choix et le paramétrage des méthodes de fouille visuelle de données Nous nous intéressons dans cet article au problème de l'automatisation du processus de choix et de paramétrage des visualisations en fouille visuelle de données. Pour résoudre ce problème, nous avons développé un assistant utilisateur qui effectue deux étapes : à partir des objectifs annoncés par l'utilisateur et des caractéristiques de ses données, le système commence par proposer à l'utilisateur différents appariements entre la base de données à visualiser et les visualisations qu'il gère. Ces appariements sont générés par une heuristique utilisant une base de connaissances sur les visualisations et la perception visuelle. Ensuite, afin d'affiner les différents paramétrages suggérés par le système, nous utilisons un algorithme génétique interactif qui permet aux utilisateurs d'évaluer et d'ajuster visuellement ces paramétrages. Nous présentons une évaluation utilisateur qui montre l'intérêt de notre système pour deux tâches.	Abdelheq Et-tahir Guettala, Fatma Bouali, Christiane Guinot, Gilles Venturini	2012	@univ-tours.fr, @ceries-lab.com, @univ-lille2.fr
218	Un environnement efficace pour la classification d'images à grande échelle	Un environnement efficace pour la classification d'images à grande échelle La plupart des processus de classification d'images comportent troisprincipales étapes : l'extraction de descripteurs de bas niveaux, la création d'unvocabulaire visuel par quantification et l'apprentissage à l'aide d'un algorithmede classification (eg.SVM). De nombreux problèmes se posent pour le passageà l'échelle comme avec l'ensemble de données ImageNet contenant 14 millionsd'images et 21,841 classes. La complexité concerne le temps d'exécution dechaque tâche et les besoins en mémoire et disque (eg. le stockage des SIFTs nécessite11To). Nous présentons une version parallèle de LibSVM pour traiter degrands ensembles de données dans un temps raisonnable. De plus, il y a beaucoupde perte d'information lors de la phase de quantification et les mots visuelsobtenus ne sont pas assez discriminants pour de grands ensembles d'images.Nous proposons d'utiliser plusieurs descripteurs simultanément pour améliorerla précision de la classification sur de grands ensembles d'images. Nous présentonsnos premiers résultats sur les 10 plus grandes classes (24,817 images)d'ImageNet.	Thanh-Nghi Doan, François Poulet	2012	@irisa.fr
219	Une approche multidimensionnelle basée sur les comportements individuels pour la prédiction de la diffusion de l'information sur Twitter	Une approche multidimensionnelle basée sur les comportements individuels pour la prédiction de la diffusion de l'information sur Twitter Aujourd'hui, les réseaux sociaux en ligne sont devenus des outils trèspuissants de propagation de l'information. Ils favorisent la diffusion rapide àgrande échelle de contenu et les conséquences d'une information inexacte voirefausse peuvent alors prendre une ampleur considérable. Par conséquent il devientindispensable de proposer des moyens d'analyser le phénomène de diffusionde l'information dans ces réseaux. De nombreuses études récentes ont traitéde la modélisation du processus de diffusion de l'information, essentiellementd'un point de vue topologique et dans une perspective théorique, mais les facteursimpliqués sont encore méconnus. Nous proposons ici une solution pratiquedont l'objectif est de prédire la dynamique temporelle de la diffusion au sein deTwitter, basée sur des techniques d'apprentissage automatique. Notre approcherepose sur l'inférence de probabilités de diffusion tirées d'une analyse multidimensionnelledes comportements individuels. Les expérimentations menéesmontrent l'intérêt de la modélisation proposée.	Adrien Guille, Hakim Hacid, Cécile Favre	2012	@univ-lyon2.fr, @alcatel-lucent.com
220	Une distance hiérarchique basée sur la sémantique pour la comparaison d'histogrammes nominaux	Une distance hiérarchique basée sur la sémantique pour la comparaison d'histogrammes nominaux La plupart des distances entre histogrammes sont définies pour comparerdes histogrammes ordonnés (dont les entités représentées sont totalementordonnées) ou des histogrammes nominaux (dont les entités représentées nepeuvent pas être comparées). Cependant, il n'existe aucune distance qui permettede comparer des histogrammes nominaux dans lesquels il est possible dequantifier des valeurs de proximité sémantique entre les entités considérées. Cetarticle propose une nouvelle distance permettant de pallier ce problème. Dans unpremier temps, une hiérarchie d'histogrammes, obtenue par le biais d'une fusionprogressive des entités considérées (prenant en compte leurs proximités sémantiques),est construite. Pour chaque étage de cette hiérarchie, une distance standardde comparaison d'histogrammes nominaux est calculée. Finalement, pourobtenir la distance proposée, ces différentes distances sont fusionnées en prenanten compte la cohérence sémantique associée aux niveaux de chaque étage de lahiérarchie. Cette distance a été validée dans le cadre de la classification de donnéesgéographiques. Les résultats obtenus sont encourageants et montrent ainsil'intérêt et l'utilité de cette dernière pour des processus de fouille de données.	Camille Kurtz	2012	@unistra.fr
221	Utilisation d'invariants pour une médiation inter-domaines de modèles utilisateurs : ressources invariantes et invariants sémantiques	Utilisation d'invariants pour une médiation inter-domaines de modèles utilisateurs : ressources invariantes et invariants sémantiques Les services de personnalisation du Web 2.0 reposent sur l'exploitationde modèles utilisateurs. Schématiquement, plus la quantité d'informationssur les utilisateurs est grande, meilleures sont la modélisation et la qualité du service.En pratique, nombre de services rencontrent un problème de manque d'informationssur les utilisateurs. Dans cet article, nous y répondons par médiationinter-domaines de modèles utilisateurs, c'est-à-dire la complétion de modèles enexploitant des données d'un autre domaine. La médiation que nous proposonsrepose sur un transfert d'informations inter-domaines. Ce transfert consiste enl'utilisation de couples invariants ou très corrélés pouvant être des couples deressources ou de descripteurs sémantiques, identifiés après enrichissement sémantiquedes modèles. Nous montrons que le transfert sous forme de couple deressources permet une complétion de qualité et que l'exploitation de descripteurssémantiques augmente la couverture à qualité égale. Enrichir sémantiquementest donc bénéfique pour le transfert inter-domaines.	Emilien Perrin, Armelle Brun, Anne Boyer	2012	@loria.fr
222	Validation et optimisation d'une décomposition hiérarchique de graphes	Validation et optimisation d'une décomposition hiérarchique de graphes De nombreux algorithmes de fragmentation de graphes fonctionnentpar agrégations ou divisions successives de sous-graphes menant à une décompositionhiérarchique du réseau étudié. Une question importante dans ce domaineest de savoir si cette hiérarchie reflète la structure du réseau ou si elle n'estqu'un artifice lié au déroulement de la procédure. Nous proposons un moyen devalider et, au besoin, d'optimiser la décomposition multi-échelle produite parce type de méthode. On applique notre approche sur l'algorithme proposé parBlondel et al. (2008) basé sur la maximisation de la modularité. Dans ce cadre,une généralisation de cette mesure de qualité au cas multi-niveaux est introduite.Nous testons notre méthode sur des graphes aléatoires ainsi que sur des exemplesréels issus de divers domaines.	Francois Queyroi	2012	@labri.fr
223	Vers la construction d'un observatoire des pratiques agricoles : gestion et propagation de l'imprécision des données agronomiques	Vers la construction d'un observatoire des pratiques agricoles : gestion et propagation de l'imprécision des données agronomiques L'un des objectifs d'Observox est de traiter et gérer l'imprécisiondes données agronomiques tant spatialement (parcelles agricoles) et quantitativement(quantités de produits disséminées) et de toujours associer une évaluationde la qualité aux données. Aussi, nous avons choisi le cadre théorique desensembles flous. A partir d'un modèle conceptuel gérant l'imperfection, nousconstruisons une base de données gérant des entités spatiotemporelles imprécisesappelées « entités agronomiques floues ». Cependant, ce choix de représentationrend possible le chevauchement des composantes spatiales entre entités.Dans ce cas, nous propageons l'imprécision du spatial vers le quantitatif àl'aide d'un opérateur de caractère additif qui prend en compte à la fois l'informationspatiale et quantitative, et qui fournit une information quantitative localeet floue. Le système ainsi construit nous permet d'obtenir une représentationfloue des quantités de produits phytosanitaires disséminés à chaque endroit duterritoire étudié.	Asma Zoghlami, Karima Zayrit, Cyril de Runz, Eric Desjardin, Herman Akdag	2012	@univ-reims.fr, @ai.univ-paris8.fr
224	Vers une approche efficace d'extraction de motifs spatio-séquentiels	Vers une approche efficace d'extraction de motifs spatio-séquentiels Ces dernières années, l'augmentation de la quantité d'informationsspatio-temporelles stockées dans les bases de données a fait naître de nouveauxbesoins, notamment en matière de gestion des risques naturels, sanitaires ou anthropiques(p. ex. compréhension de la dynamique d'une épidémie de Dengue).Dans cet article, nous définissons un cadre théorique pour l'extraction de motifsspatio-séquentiels, séquences de motifs spatiaux représentant l'évolution dansle temps d'une localisation et de son voisinage. Nous proposons un algorithmed'extraction efficace qui effectue un parcours en profondeur en s'appuyant surdes projections successives de la base de données. Nous introduisons égalementune mesure d'intérêt adaptée aux aspects spatio-temporels de ces motifs. Les expérimentationsréalisées sur des jeux de données réels soulignent la pertinencede l'approche proposée par rapport aux méthodes de la littérature.	Hugo Alatrista Salas, Sandra Bringay, Frédéric Flouvat, Nazha Selmaoui-Folcher, Maguelonne Teisseire	2012	@teledetection.fr, @lirmm.fr, @univ-nc.nc
225	Vers une méthode automatique de construction de hiérarchies contextuelles	Vers une méthode automatique de construction de hiérarchies contextuelles Dans de nombreux domaines (e.g., fouille de données, entrepôts dedonnées), l'existence de hiérarchies sur certains attributs peut être extrêmementutile dans le processus analytique. Toutefois, cette connaissance n'est pas toujoursdisponible ou adaptée. Il est alors nécessaire de disposer d'un processusde découverte automatique pour palier ce problème. Dans cet article, nous combinonset adaptons des techniques issues de la théorie de l'information et duclustering pour proposer une technique orientée données de construction automatiquede taxonomies. Les deux principaux avantages d'une telle approchesont son caractère totalement non-supervisé et l'absence de paramètre utilisateurà spécifier. Afin de valider notre approche, nous l'avons appliquée sur desdonnées réelles et avons conduit plusieurs types d'expérimentation. D'abord,les hiérarchies obtenues ont été expertisées pour en examiner le pouvoir informatif.Ensuite, nous avons évalué l'apport de ces taxonomies comme support àdes tâches de fouille de données nécessitant une définition hiérarchique des valeursd'attributs : l'extraction de séquences fréquentes multidimensionnelles etmulti-niveaux ainsi que la construction de résumés de tables relationnelles. Lesrésultats obtenus permettent de conclure quant à l'intérêt de notre approche	Dino Ienco, Yoann Pitarch, Pascal Poncelet, Maguelonne Teisseire	2012	@teledetection.fr, @cs.aau.dk, @lirmm.fr
226	Webmarks : Le marquage d'intérêt sur le Web de données	Webmarks : Le marquage d'intérêt sur le Web de données Depuis son apparition au sein du W3C, la définition de la ressourceWeb n'a cessé d'évoluer au delà du simple document. Lieu, service, conceptd'ontologie, représentation d'un objet réel ou non, la ressource web est complexeet il nous a semblé que les outils à disposition des internautes pour sa manipulation,comme les bookmarks par exemple, n'exploitaient pas pleinementces nouvelles dimensions. Dans cet article, nous présenterons le modèle Webmarksqui permet de préciser l'objet du marquage, la ressource, mais égalementl'intérêt de l'auteur de la marque. L'implémentation de ce modèle au sein duprojet ISICIL sera également présentée et nous discuterons de son apport encomparaison des technologies existantes	Nicolas Delaforge, Fabien Gandon	2012	@inria.fr
227	@KRex : une méthode de construction des connaissances pour la maîtrise des activités à risques - application au domaine de la sécurité nucléaire	@KRex : une méthode de construction des connaissances pour la maîtrise des activités à risques - application au domaine de la sécurité nucléaire Dans les industries à risque, comme le nucléaire, les connaissances liées au savoir et à l'expérience participent à la maîtrise des activités. Elles sont explicites, formalisables dans des documents, ou tacites, expression du savoir faire moins souvent prise en compte. AREVA développe la méthode @KRex pour valoriser le retour d'expérience existant, créer une dynamique d'extraction et de capitalisation des connaissances, faciliter leur partage et leur enrichissement. Cette communication décrit le protocole expérimental de construction des connaissances explicites et tacites du métier sécurité nucléaire.	Julien Giudici, Hervé Janiaut, Rémy Gautier	2011	@KRex, @ensam.eu, @ensam.eu, @areva.com, @KRex
228	Acquisition de structures lexico-sémantiques à partir de textes : un nouveau cadre de travail fondé sur une structuration prétopologique	Acquisition de structures lexico-sémantiques à partir de textes : un nouveau cadre de travail fondé sur une structuration prétopologique Les structures lexico-sémantiques jouent un rôle essentiel dans les processus de fouille de textes. En codant les relations sémantiques entre concepts du discours elles apportent une connaissance stratégiques pour enrichir les capacités de raisonnement. Le développement de telles structures étant fortement limité du fait des efforts nécessaires à leur construction, nous proposons un nouveau formalisme d'acquisition automatique d'ontologies terminologiques à partir de textes. Nous utilisons pour cela une formalisation prétopologique de l'espace des termes sur laquelle s'appuie un modèle générique de structuration. Nous présentons une étude empirique préliminaire rendant compte du potentiel de ce modèle en terme d'extraction de connaissances.	Guillaume Cleuziou, Gaël Dias, Vincent Levorato	2011	@univ-orleans.fr, @di.ubi.pt
229	Adaptation de l'algorithme CART pour la tarification des risques en assurance non-vie	Adaptation de l'algorithme CART pour la tarification des risques en assurance non-vie Les développements récents en tarification de l'assurance non-vie se concentrent majoritairement sur la maîtrise et l'amélioration des Modèles Linéaires Généralisés. Performants, ces modèles imposent cependant à la fois des contraintes sur la structure du risque modélisé et sur les interactions entre variables explicatives du risque. Ces restrictions peuvent conduire, dans certaines sous-populations d'assurés, à une estimation biaisée de la prime d'assurance. Les arbres de régression permettent de s'affranchir de ces contraintes et, de plus, augmentent la lisibilité des résultats de la tarification. Nous présentons une modification de l'algorithme CART pour prendre en compte les spécificités des données d'assurance non-vie. Nous comparons alors notre proposition aux modèles linéaires généralisés sur un portefeuille réel de véhicules. Notre proposition réduit les mesures d'erreur entre le risque mesuré et le risque modélisé, et permet ainsi une meilleure tarification.	Antoine Paglia, Martial Phélippé-Guinvarc'h, Philippe Lenca	2011	@gmail.com, @sfr.fr, @groupama.com, @telecom-bretagne.eu
230	Agrégation robuste de données massives à la volée : application aux compteurs électriques communicants	Agrégation robuste de données massives à la volée : application aux compteurs électriques communicants Dans les années à venir, plusieurs millions de compteurs électriques communicants seront déployés sur l'ensemble du territoire français. Afin d'assurer la fiabilité d'un réseau de cette envergure nous proposons une topologie de communication multi-chemins qui repose sur la duplication des données transmises. Toute exploitation des données collectées doit alors tenir compte de la présence d'éléments dupliqués. Dans cet article, nous proposons une nouvelle méthode permettant de calculer en ligne des consommations électriques agrégées (agrégation spatiale). L'idée est d'adapter l'algorithme probabiliste Summation sketch de Considine et al. au contexte des compteurs communicants. Cette approche a l'avantage d'être insensible à la duplication et permet de profiter de la structure massivement distribuée du réseau de communication des futurs compteurs électriques. L'expérimentation de cette méthode sur des données réelles montre qu'elle donne une bonne précision sur l'estimation des consommations agrégées. Cette approche est aussi complétée par une méthode basée sur la théorie des sondages : On obtient une meilleure réactivité de l'estimateur avec rapidement et donc sur des données significativement partielles une erreur inférieure à 2.5%	Yousra Chabchoub, Benoît Grossin	2011	@edf.fr, @isep.fr
231	Aide à l'Analyse Visuelle de Réseaux Sociaux pour la Détection de Comportements Suspects	Aide à l'Analyse Visuelle de Réseaux Sociaux pour la Détection de Comportements Suspects Cet article traite de l'analyse visuelle de réseaux sociaux pour la détection de comportements suspects à partir de données de communications fournies à des enquêteurs suivant deux procédures : l'interception légale et la rétention de données. Nous proposons les contributions suivantes : (i) un modèle de données et un ensemble d'opérateurs pour interroger ces données dans le but d'extraire des comportements suspects et (ii) une représentation visuelle conviviale pour une navigation simplifiée dans les données de communication accompagnée avec une implémentation.	Amyn Bennamane, Hakim Hacid, Arnaud Ansiaux, Alain Cagnati	2011	@alcatel-lucent.com, @interieur.gouv.fr
232	Analyse comparative de méthodologies et d'outils de construction automatique d'ontologies à partir de ressources textuelles	Analyse comparative de méthodologies et d'outils de construction automatique d'ontologies à partir de ressources textuelles Plusieurs méthodologies et outils de construction automatique des ontologies à partir de ressources textuelles ont été proposés ces dernières années. Dans cet article nous analysons quatre approches en les comparant à une approche de référence - Methontology. Dans leur sélection nous avons privilégié celles qui couvrent l'ensemble des étapes du processus de construction d'ontologies. Puis nous analysons et comparons la portée, les limites et les performances des implémentations logicielles associées aux approches analysées. Ces outils ont été testés sur un corpus de ressources textuelles, et nous avons comparé leurs résultats à ceux obtenus manuellement.	Toader Gherasim, Mounira Harzallah, Giuseppe Berio, Pascale Kuntz	2011	@univ-nantes.fr, @polytech.univ-nantes.fr, @univ-ubs.fr
233	Analyse du comportement limite d'indices probabilistes pour une sélection discriminante	Analyse du comportement limite d'indices probabilistes pour une sélection discriminante Nous étudions ici le comportement de deux types d'indices probabilistes discriminants en présence de données dont le volume va en croissant. A cet égard, un modèle spécifique de croissance de la taille des données et de liaison entre variables est mis en oeuvre et celui-ci va permettre de déterminer le comportement limite des différents indices quel que soit le niveau de liaison entre la prémisse et la conclusion de la règle donnée. La clarté des résultats obtenus nous conduit à en chercher l'explication formelle. L'expérimentation a été effectuée avec la base de données UCI Wages.	Sylvie Guillaume, Israël-César Lerman	2011	@isima.fr, @irisa.fr
