id	short_content	full_content	authors	date	affiliations	url
79	Exploration d'une collection de chansons à partir d'une interface de visualisation basée sur une analyse des paroles	exploration de un collection de chanson à partir de un interface de visualisation baser sur un analyse des parole  dans ce article , cln présenter un approche de fouille de textesainsi que un interface de visualisation afin de explorer un large collection dechansons frana¸ises à partir un parole . dans un premier temps , lui collectonsparole et métadonné de différent source sur leWeb . cln utiliser un approchecombinant clustering et analyse sémantique latent afin de identifier différentesthématique et de déterminer différent descripteur significatif . Noustransformons par le suite le modèle afin de obtenir un visualisation interactivepermettant de explorer le collection de chanson 	Rémy Kessler, Audrey Laplante, Dominic Forest	2014	@umontreal.ca	1001946
80	Extension de l'étiquetage géographique des pixels d'une image par fouille de données	extension de le étiquetage géographique des pixel de un image par fouille de donnée  le technique de classification moderne permettre de étiqueter leszon non couvert des base de donnée cartographique , mais souffrir de unmanque de robustesse important . dans ce article , cln proposer un méthoderobuste de extension de étiquetage sur le emprise de un image satellite , par analysehiérarchique des donnée existant . son approche être fonder sur un sélectiond'attribut par thème de le base de donnée , un sélection des pixel de apprentissageet des classification par objet de chaque thème . le décision finaled'étiquetage être prendre après fusion des classification par thème . son méthodeest appliquer avec succès et comparer à plusieurs méthode de classification , coupler donner de occupation du sol et imagerie spatial très haut résolution . 	Adrien Gressin, Nicole Vincent, Clément Mallet, Nicolas Paparoditis	2014	@ign.fr, @parisdescartes.fr	1001966
81	Extraction de motifs dans des graphes orientés attribués en présence d'automorphisme	extraction de motif dans un graphe orienter attribuer en présence de automorphisme  le graphe orienter attribuer être un graphe orienter dans lesquelsle noeud être associer à un ensemble de attribut . un nombreux donnée , issuesdu monde réel , pouvoir être représenter par ce type de structure , maisencore peu de algorithme être capable de cla traiter directement . le fouille desgraphes attribuer être difficile , car cln nécessiter de combiner le exploration de lastructure du graphe avec le identification de itemsets fréquent . de plus , du fait del'explosion combinatoire des itemsets , le isomorphisme de sous-graphe , dontle présence impacter énormément le performance des algorithme de fouille , être beaucoup plus nombreux que dans le graphe étiqueté . dans ce article , cln présenter un nouveau méthode de fouille de donnéesqui permettre de extraire un motif fréquent à partir de un ou de plusieurs graphesorienté attribuer . cln montrer comment réduire le explosion combinatoireprovoquer par le isomorphisme de sous-graphe en traiter de manière particulièreles motif automorphe . 	Claude Pasquier, Frédéric Flouvat, Jérémy Sanhes, Nazha Selmaoui-Folcher	2014	@univ-nc.nc, @unice.fr	1001949
82	Extraction de règles d'épisodes minimales dans des séquences complexes	extraction de règle de épisode minimal dans un séquence complexe  le message déposer quotidiennement sur le réseau social et lesblogs être très nombreux et constituer un source de information précieux . son fouille pouvoir être utiliser dans un but de prédiction de information . Notreobjectif dans ce article être de proposer un algorithme permettre le prédictiond'information au plus tôt et de façon fiable , par le biais de le identification derègle de épisode . 	Lina Fahed, Armelle Brun, Anne Boyer	2014	@loria.fr	1001975
83	Extraire les motifs minimaux efficacement et en profondeur	extraire le motif minimal efficacement et en profondeur  le représentation condensé avoir faire le objet de nombreux travauxdepui 15 an . Tandis que le motif maximal des classe de équivalence ontreçu beaucoup de attention , le motif minimal être rester dans le ombre notammentà cause de le difficulté de son extraction . dans ce papier , cln présentonsun cadre générique concernant le extraction de motif minimal en introduisantle notion de système minimisable de ensemble . ilimp permettre de considérer un langagesvarié comme le motif ensembliste ou le chaîne de caractère , maisaussi différent métrique dont le fréquence . ensuite , pour ne importer quel minimisable de ensemble , cln introduire un test de minimalité rapidepermettandre de extraire en profondeur le motif minimal . cln démontrer quel'algorithme proposer être polynomial-delay et polynomial-space . un expérimentationssur le benchmark traditionnel compléter son étude . 	Arnaud Soulet, François Rioult	2014	@univ-tours.fr, @unicaen.fr	1001950
84	Fouille de données par programmation visuelle structurée avec KD-Ariane	fouille de donnée par programmation visuel structurer avec KD-Ariane  cln présenter ici le plate-forme KD-Ariane , un déploiement de outilspour le fouille de donnée dans le environnement de programmation visuelleAriane . ce déploiement faciliter le conception de chaîne structurer de traitementspour le extraction de connaissance dans le donnée 	Régis Clouard, François Rioult	2014	@ensicaen.fr, @unicaen.fr	1001989
85	Fouille de motifs séquentiels pour l'élicitation de stratégies à partir de traces d'interactions entre agents en compétition	fouille de motif séquentiel pour le élicitation de stratégie à partir de trace de interaction entre agent en compétition  pour atteindre un but , tout agent en compétition élaborer inévitablementdes stratégie . lorsque le cln disposer de un certain quantité de trace de interactionsentre agent , ilimp être naturel de utiliser le fouille de motif séquentielspour découvrir de manière automatique ce stratégie . dans ce article , lui proposonsune méthodologie qui permettre le élicitation de stratégie et son capacité àdiscriminer un réussite ou un échec . le méthodologie clr articuler en trois étape : ( i ) le trace brut être transformer en un base de séquence selon un choixqui permettre , ( ie ) le extraction de stratégie fréquent , ( iii ) lequel être muniesd'un mesure original de émergence . ce être donc un méthodologie de découverteun connaissance que cln proposer . cln montrer le intérêt des motifsextrait et le faisabilité de le approche à travers des expérimentation quantitativeset qualitatif sur un donnée réel issir du domaine émerger dusport électronique . 	Guillaume Bosc, Mehdi Kaytoue-Uberall, Chedy Raïssi, Jean-François Boulicaut	2014	@insa-lyon.fr, @inria.fr	1001948
86	Généralisation des k-moyennes pour produire des recouvrements ajustables	généralisation des k-moyenne pour produire un recouvrement ajustable  le recherche de groupe non- disjoindre à partir de donnée non- étiquetéesêtre un problématique important en classification non- supervisé . Laclassification recouvrant ( Overlapping clustering ) contribuer à le résolution deplusieurs problème réel qui nécessiter le détermination de groupe qui clr chevaucher . cependant , bien que le recouvrement entre groupe être tolérésvoire encourager dans ce application , ilimp convier de contrôler son importance . cln proposer dans ce papier des généralisation de k-moyenne offrir lecontrôle et le paramétrage des recouvrement . Deux principe de régulation sontmir en place , cln viser à contrôler le recouvrement relativement à son tailleet à le dispersion des classe . le expérimentation réaliser sur un jeu dedonnées réel , montrer le intérêt des principe proposer . 	Chiheb-Eddine Ben N'Cir, Guillaume Cleuziou, Nadia Essoussi	2014	@isg.rnu.tn, @isg.rnu.tn, @univ-orleans.fr	1001932
87	Génération d'un extrait textuel à partir de bases de données	génération de un extraire textuel à partir de base de donnée  dans ce papier , cln présenter un approche dédier à le transformationd'une base de donnée en un extraire textuel . le idée sous-jacent à notreproposition être de apporter plus un sémantique aux donnée de le base . ce objectifest atteindre moyennant le utilisation des ontologie comme ressource sémantique . son approche prendre comme input un ensemble de base de donnéeset associer à chacun un ontologie . un ontologie global être générer , à partirde lequel un règle de association être proposer pour mieux expliciter sasémantique . enfin , le génération de un extraire textuel prendre lieu . 	Ghada Landoulsi, Khaoula Mahmoudi, Sami Faiz	2014	@yahoo.fr, @laposte.net, @insat.rnu.tn	1001971
88	Granularité des motifs de co-variations dans des graphes attribués dynamiques	granularité des motif de co- variation dans un graphe attribuer dynamique  découvrir un connaissance dans un graphe qui être dynamiqueset dont le sommet être attribuer être de plus en plus étudier , par exemple dansle contexte de le analyse de interaction social . ilimp être souvent possible de expliciterun hiérarchie sur le attribut permettre de formaliser un connaissancesa priori sur le description des sommet . cln proposer de étendre destechnique de fouille sous contrainte récemment proposer pour le analyse degraphe attribuer dynamique lorsque le cln exploiter de tel hiérarchie et doncle potentiel de généralisation  spécialisation que cln permettre . cln décrivonsun algorithme qui calculer un motif de co- évolution multi-niveau , ce est-à-diredes ensemble de sommet qui satisfaire un contrainte topologique et qui évoluentder le même façon selon un ensemble de tendance et de pas de temps . Nosexpérimentations montrer que le utilisation de un hiérarchie permettre de expliciterun collection de motif plus concis sans perdre de information . 	Elise Desmier, Marc Plantevit, Jean-François Boulicaut	2014		1001955
89	Identification de classes non-disjointes ayants des densités différentes	identification de classe non- disjoint ayant des densité différent  le classification recouvrant correspondre à un enjeu important en classificationnon- superviser en permettre à un observation de appartenir à plusieursclusters . plusieurs méthode avoir être proposer pour faire face à cetteproblématique en utiliser plusieurs approche usuel de classification . cependant , malgré le efficacité de ce méthode à déterminer un groupe non- disjoindre , cln échouer lorsque le donnée comporter un groupe de densité différentescar lui ignorer le densité local de chaque groupe et ne considèrentque le distance Euclidienne entrer le observation . afin de détecter un groupesnon- disjoindre de densité différent , cln proposer deux méthode de classificationintégrant le variation de densité des différent classe dans le processusde classification . un expérience réaliser sur un ensemble de donnée artificiellesmontrent que le méthode proposer permettre de obtenir de meilleuresperformance lorsque le donnée contenir un groupe de densité différent . 	Hela Masmoudi, Chiheb-Eddine Ben N&#146;Cir, Nadia Essoussi	2014	@gmail.com, @isg.rnu.tn, @isg.rnu.tn	1001936
90	Identification de rôles communautaires dans des réseaux orientés appliquée à Twitter	identification de rôle communautaire dans un réseau orienter appliquer à Twitter  le notion de structure de communauté être particulièrement utile pourétudier le réseau complexe , car cln amener un niveau de analyse intermédiaire , par opposition aux plus classique niveau local ( voisinage des noeud ) et global ( réseau entier ) . le concept de rôle communautaire permettre de décrire le positionnementd'un noeud en fonction de son connectivité communautaire . cependant , le approche existant être restreindre aux réseau non- orienter , utilisentdes mesure topologique ne considérer pas tout le aspect de le connectivitécommunautaire , et des méthode de identification des rôle non- généralisable àtous le réseau . cln proposer de résoudre ce problème en généraliser lesmesuron existant , et en utiliser un méthode non- superviser pour déterminerle rôle . cln illustrer le intérêt de son méthode en le appliquer au réseaud Twitter . cln montrer que son modification mettre en évidence le rôlesspécifique de utilisateur particulier du réseau , nommer capitaliste social . 	Nicolas Dugué, Vincent Labatut, Anthony Perez	2014		1001921
91	Incremental learning with latent factor models for attribute prediction in social-attribute networks	dans ce travail , cln clr intéresser au problème de le prédiction de attribut sur lesnoeudt dans un réseau social . le plupart des technique être hors ligne et ne être pas adaptéesà un situation où le donnée arriver massivement en flux comme dans le cas des médiassocial . dans ce travail , cln utiliser le modèle de variable latent pour prédire le attributsinconnu des noeud dans un réseau social et proposer un méthode pour mettre à jourincrémentalement le modèle avec un nouveau donnée . un expérimentation sur un jeu dedonnées issue des média social montrer que son méthode être moins coûteux en tempsun calcul et pouvoir garantir un performance acceptable en comparaison avec le techniquesnon- incrémental de le état de le art . 	Duc Kinh Le Tran, Cécile Bothorel, Pascal Cheung Mon Chan	2014	@telecom-bretagne.eu, @orange.com	1001916
92	Intégration et visualisation de données liées thématiques sur un référentiel géographique	intégration et visualisation de donnée lié thématique sur un référentiel géographique  un nombreux ressource publier sur le Web des donnée être décritespar un composante qui désigner de un manière direct ou indirect unelocalisation géographique . comme tout autre propriété , ce information delocalisation pouvoir être mettre à profit pour permettre le interconnexion des donnéesavec de autre source . cln permettre en outre son représentation cartographique . cependant , le information de localisation utiliser dans le source de donnéeslinked dater pouvoir parfois clr avérer imprécis ou hétérogène de un source àl'autre . ceci rendre donc son exploitation pour réaliser un interconnexion difficile , voire impossible . dans ce article , cln proposer de pallier ce difficultésen ancrer le donnée linked dater thématique aux objet de un référentielgéographique . cln mettre à profit le référentiel géographique afin de mettreen correspondance des donnée thématique doter de indication de localisationhétérogène . cln exploiter enfin le relation de correspondance créer entredonné thématique et référentiel géographique dans un application de référentielgéographique des donnée . 	Abdelfettah Feliachi, Nathalie Abadie, Fayçal Hamdi	2014	@ign.fr, @ign.fr, @cnam.fr	1001912
93	Investigation visuelle d'événements dans un grand flot de liens	investigation visuel de événement dans un grand flot de lien  cln présenter un nouveau méthode de analyse exploratoirede grand flot de lien que cln appliquer à le détection de événementssignificatif dans plus de 2 million de interaction ( pendant 4 mois ) entreutilisateurs du réseau social en ligne Github . cln combiner un méthodestatistique de détection automatique de événement dans un série temporel , Outskewer , avec un système de visualisation de graphe . Outskewer identifiedes instant de le évolution du graphe de interaction méritant de être étudier , etun analyste pouvoir valider et interpréter ce événement par le visualisation identifiedes anormal dans le sous-graphe correspondant . cln montrer par demultiple exemple que ce approche 1 ) permettre de détecter un événementspertinent et de rejeter celui qui ne cla être pas , 2 ) être adapter à un démarcheexploratoire car cln ne nécessiter pas un connaissance avoir priori sur le donnée . 	Sébastien Heymann, Bénédicte Le Grand	2014	@lip6.fr, @univ-paris1.fr	1001918
94	La subjectivité dans le discours médical : sur les traces de l'incertitude et des émotions	le subjectivité dans le discours médical : sur le trace de le incertitude et des émotion  le acteur et usager du domaine médical ( médecin , infirmier , patient , interne , pharmacien , etc. ) ne être pas issir de le même catégorie socioprofessionnelleettre ne présenter pas le même niveau de maîtrise du domaine . son écrit cll témoigner et véhiculer , de plus , le subjectivité qui cld estproprer . cln cln intéresser à le étude automatisé de le subjectivité dans lediscours médical dans un texte en langue français . cln confronter le discoursdes médecin ( article scientifique , rapport clinique ) à celui des patient ( message de forum de santé ) en analyser contrastivement le différencesd'emploi des descripteur tel que le marqueur de incertitude et de polarité , le marque émotif non lexical ( smiley , ponctuation répéter , etc. ) et lexical , et le terme médical relatif aux pathologie , traitement et procédure . cln effectuer un annotation et catégorisation automatique des documentsafin de mieux observer le spécificité que présenter le discours médicauxciblé . 	Pierre Chauveau Thoumelin, Natalia Grabar	2014	@gmail.com, @univ-lille3.fr	1001958
95	Les nouvelles théories de l'incertain	le nouveau théorie de le incertain  le notion de incertitude avoir être longtemps un sujet de controverse . en particulier le prééminenced le théorie des probabilité dans le science tendre à gommer le différence présentesdans le premier tentative de formalisation , remonter au 17ème siècle , entre le incertitudedue à le variabilité des phénomène répétable et le incertitude devoir au manque de information ( dire épistémique ) . le école Bayésienne affirmer que quelle que être le origine de le incertitude , celui -ci pouvoir être modéliser par un distribution de probabilité unique . ce affirmation avoir étébeaucoup remettre en cause dans le trent dernier année . en effet le emploi systématiqued'une distribution unique en cas de information partiel mener à un utilisation paradoxal dela théorie des probabilité . dans un nombreux domaine , ilimp être crucial de distinguer entre le incertitude devoir à le variabilitéd'observation et le incertitude devoir à le ignorance partiel . ce dernier pouvoir être réduitepar le obtention de nouveau information , mais pas le premier , dont cln ne clr prémunir quepar un action concret . dans le cas des base de donnée , ilimp être souvent supposer que ellesêtre précis , et le incertitude correspondant être souvent négliger . Quant cln être aborder onreste souvent dans un approche probabiliste orthodoxe . néanmoins , le statisticien avoir développer un outil qui ne relever pas de le théorie deKolmogorov pour pallier le manque de donnée ( intervalle de confiance , principe de maximumun vraisemblance ... ) . un nouveau théorie de le incertain avoir émerger , qui offrir le possibilité de représenter lesincertitudes épistémique et aléatoire de façon distinct , notamment le incertitude épistémique , en remplacer le distribution de probabilité unique par un famille de distribution possible , ce famille être de autant plus grand que le information être absent . ce représentationcomplexe posséder un cas particulier plus simple à utiliser en pratique , comme le ensemblesaléatoire ( théorie des fonction de croyance ) , le distribution de possibilité ( représenter desensemble flou de valeur possible ) et le p-box , notamment . le but de ce exposé être de susciter le intérêt pour ce nouveau théorie de le incertain , de cll donner le base formel , de cll discuter le philosophie sous-jacent , de faire le lien aveccertain notion en statistique , et de cla illustrer sur un exemple . 	Didier Dubois	2014	@irit.fr	1001906
96	"LOCAL-GENERATOR : ""diviser pour régner"" pour l'extraction des traverses minimales d'un hypergraphe"	" LOCAL-GENERATOR : " " diviser pour régner " " pour le extraction des traverse minimal de un hypergraphe "  Du faire que cln apporter un solution dans un nombreux application , le traverse minimal des hypergraphe ne cesser de susciter le intérêt dela communauté scientifique et le développement de algorithme pour cla calculer . dans ce article , cln présenter un nouveau approche pour le optimisation del'extraction des traverse minimal baser sur le notion de hypergraphe partielet de traverse minimal local selon un stratégie diviser pour régner . Nousintroduisons aussi un nouveau algorithme , appeler LOCAL-GENERATOR pour lecalcul un traverse minimal . le expérimentation effectuer sur divers jeuxd donner avoir montrer le intérêt de son approche , notamment sur le hypergraphesayant un nombre de transversalité élevé et renfermer un nombre trèsimportant de traverse minimal . 	M. Nidhal Jelassi, Christine Largeron, Sadok Ben Yahia	2014	@univ-st-etienne.fr, @fst.rnu.tn	1001935
97	L'utilisation des entités nommées pour l'expansion sémantique des requêtes Web	le utilisation des entité nommer pour le expansion sémantique des requête Web  le entité nommer être un élément intéressant pour le applicationsfondé sur le Traitement du Langage Naturel . dans le cas de le recherched'information , le entité nommer être largement employer par le utilisateursdu web dans le requête de recherche , soit pour définir un concept debase , soit pour décrire un autre concept dans le requête . Du côté du modèled recherche , le entité nommer être un élément riche en information quiaident à mieux cibler le document pertinent . dans ce article , cln étudionsl'avantager de étendre le entité nommer dans le requête . le idée être de utiliserune technique de expansion sémantique sur un ontologie général ( Yago ) pourdésambiguïser le entité nommer et pour trouver son différent appellationsque le cln intégrer dans le requête en utiliser 3 approche : sac de mots , dépendanceséquentielle , et concept clé . cln mesurer le efficacité de ce expériencesen terme de précision et rappel , et cln étudier le effet du rôle des entité nomméessur le expansion . cln conclure que le expansion des entité nommer estune méthode simple qui améliorer significativement le qualité de le recherchequand cln être comparer à un modèle de référence sans expansion . de plus , cetteméthode être assez compétitif par rapport à le approche pseudo retour de pertinencesouvent utiliser pour le expansion de le requête . 	Bissan Audeh, Philippe Beaune, Michel Beigbeder	2014	@emse.fr	1001910
98	Méthodologie 3-way d'extraction d'un modèle articulatoire de la parole à partir des données d'un locuteur	méthodologie 3- way de extraction de un modèle articulatoire de le parole à partir un donnée de un locuteur  pour parler , le locuteur mettre en mouvement un ensemble complexed'articulateur : le mâchoire que ilimp ouvrir plus ou moins , le langue à lequel ilfer prendre un nombreux forme et position , le lèvre qui cld permettre delaisser le air clr échapper plus ou moins brutalement , etc. le modèle articulatoirele plus connu être celui de Maeda ( 1990 ) , obtenir à partir de Analyses en ComposantesPrincipales faire sur le tableau de coordonnée des point des articulateursd'un locuteur en train de parler . cln proposer ici un analyse 3- way dumême type de donnée , après son transformation en tableau de distance . Nousvalidons son modèle par le prédiction des son prononcer , qui clr avérer presqueaussi bon que celui du modèle acoustique , et même meilleur quand cln prenden compter le co- articulation . 	Martine Cadot, Yves Laprie	2014	@loria.fr, @loria.fr	1001985
99	Modélisation de trajectoires cible/caméra : requêtes spatio-temporelles dans le cadre de la videosurveillance	modélisation de trajectoire cible  caméra : requête spatio- temporel dans le cadre de le videosurveillance  le nombre de caméra de vidéosurveillance installer dans le monde augmenter chaquejour . en France , le système de le RATP déployer sur Paris comprendre 9000 caméra fixe et19000 mobile . lors de fait particulier ( e.g. , agression , vol ) , le opérateur de vidéo surveillancese baser sur le indication spatial et temporel de le victime et sur son connaissanced le localisation des caméra pour sélectionner le contenu intéressant pour le enquête . Deux grand problème pouvoir alors survenir : ( 1 ) le temps de réponse être long ( jusque à plusieursjours de traitement ) et ( 2 ) un risque important de perte de résultat à cause de un mauvaiseconnaissance du terrain ( appel à un opérateur extérieur ) . le but de son recherche estde définir un outil de assistance aux opérateur qui pouvoir , à partir de un trajectoire donner , sélectionner de façon automatique le caméra pertinent par rapport à le requête . 	Dana Codreanu, André Péninou, Florence Sedes	2014	@irit.fr	1001982
100	Motifs récursifs : extraction ascendante hiérarchique d'ensembles d'items ou d'évènements pour le résumé de données transactionnelles ou séquentielles	motif récursif : extraction ascendant hiérarchique de ensemble de item ou de évènement pour le résumé de donnée transactionnel ou séquentiel  cln proposer un méthode original pour extraire un résumé compact , représentatif et intelligible des motif fréquent dans un donnée transactionnellesou séquentiel . son approche consister à extraire un nouveau typede motif que cln appeler motif récursif , i.eevard des motif de motif , à le aided'un algorithme hiérarchique agglomératif nommer RepaMiner . cln généronsnon pas un simple ensemble de motif mais un véritable structure dériver dedendrogrammes , le RPgraph . 	Julien Blanchard	2014	@univ-nantes.fr	1001956
101	Passage aux noyaux en classification recouvrante	passage aux noyau en classification recouvrant  le classification recouvrant correspondre à un domaine de étude très actifx dernier année et dont le objectif être de organiser un ensemble de donnéesen groupe de individu similaire avec le particularité de autoriser un chevauchementsentre le groupe . parmi le approche étudier cln cln intéressonsaillir extension recouvrant des modèle de type moindre carré et constatonsles difficulté théorique et pratique lier à son adaptation aux noyau . Nousformulons alors un nouveau définition ensembliste pour caractériser un recouvrementd plusieur classe , cln montrer que ce modélisation permettre lerecours aux noyau et cln proposer un solution algorithmique efficace pourrépondre au problème de le classification recouvrant à noyau . 	Guillaume Cleuziou	2014	@univ-orleans.fr	1001931
102	Pondération de blocs de variables en bi-partitionnement topologique	pondération de bloc de variable en bi-partitionnement topologique  dans ce article , cln proposer un nouveau approche permettantà le fois le bi-partitionnement topologique ( bi-clustering ) et le pondération deblocs variable . le modèle que cln proposer FBR-BiTM ( Feature Block Relevanceusing BiTM ) permettre de découvrir un espace topologique de un ensembled'observation et de variable en associer un nouveau score de pondération àchaque sous ensemble de variable . le estimation des coefficient de pondérationest réaliser dans le même processus de apprentissage que le bi-partitionnement . ce pondération être local et associer à chaque prototype . cln reflètentl'importancer local de chaque bloc de variable pour le bi-partitionnement . le évaluationmontre que le approche proposer , comparer 	Amine Chaibi, Hanane Azzag, Mustapha Lebbah	2014	@univ-paris13.fr	1001943
103	Prédiction de valeurs manquantes dans les bases de données-- Une première approche fondée sur la notion de proportion analogique	prédiction de valeur manquant dans le base de donnée -- un premier approche fonder sur le notion de proportion analogique  ce article présenter un méthode original de prédiction de valeursmanquant dans le base de donnée relationnel , fonder sur le notion deproportion analogique . cln montrer en particulier comment un algorithmeproposé dans le cadre de le classification automatique pouvoir être adapter à ce fin . Deux cas être considérer : celui de un base de donnée transactionnel ( attributsbooléen ) , et celui où le valeur manquant pouvoir être de type numérique . 	William Correa Beltran, Hélène Jaudoin, Olivier Pivert	2014	@irisa.fr, @irisa.fr, @irisa.fr	1001961
104	Que ressentent les patients ?	que ressentir le patient ?  le forum de santé en ligne être un espace de échange où le patientspartagent son sentiment à propos de son maladie , traitement , etc. sous couvert de anonymat , cln exprimer très librement son expérience personnel . ce forum être donc un source de information très utile pour le professionnelsde santé afin de mieux identifier et comprendre le problème , lescomportement et le sentiment de son patient . dans ce article , cln proposonsd'exploiter le message des forum via un technique de fouille de textespour extraire un trace de émotion ( e.gès joie , colère , surprise , etc. ) . 	Soumia Melzi, Amine Abdaoui, Jérôme Azé, Sandra Bringay, Pascal Poncelet, Florence Galtier	2014		1001957
105	Reconstruction et analyse sémantique de chronologies cybercriminelles	reconstruction et analyse sémantique de chronologie cybercriminel  le reconstruction de chronologie de évènement cybercriminel ( oureconstruction de évènement ) être un étape primordial dans un investigationnumérique . ce phase permettre aux enquêteur de avoir un vue des évènementssurvenu durant un incident . le reconstruction de évènement requérir le étuded'important volume de donnée en raison de le omniprésence des nouvellestechnologie dans son quotidien . de plus , le conclusion produire clr doiventder respecter le critère fixer par le justice . afin de répondre à ce challenge , cln proposer un nouveau méthodologie baser sur un ontologie permettantd'assister le enquêteur tout au long du processus de enquête . 	Yoan Chabot, Aurélie Bertaux, Tahar Kechadi, Christophe Nicolle	2014	@ucdconnect.ie	1001969
106	Règles d'association inter-langues au service de la recherche d'information multilingue	règle de association inter-langue au service de le recherche de information multilingue  dans ce article , cln proposer de montrer le intérêt et le utilité de déploiementun règle de association inter-langue ( RAILs ) dans le domaine de laRecherche de information Multilingue ( RIM ) . ce règle être des connaissancesadditionnel résultante de un processus de fouille de grand corpus parallèlesalignés au niveau de le phrase . en effet , son conclusion exprimer dans unelangue cible représenter un traduction potentiel de son prémisse , expriméesdans un langue source . cln illus trons le utilisation des rail dans lecontexte de le RIM à travers deu proposition , à savoir : ( i ) le traduction desrequêt et ( ie ) le traduction des terme de le index . le évaluation expérimental aété mener sur le collection de document MUCHMORE . le résultat avoir montréun amélioration significatif de le pertinence système . 	Belhaj Rhouma Sourour, Asma Ben Achour, Malek Hajjem, Chiraz Latiri	2014	@gmail.com, @gmail.com, @gmail.com, @gnet.tn	1001927
107	Requêtes skyline en présence d'exceptions	requête skyline en présence de exception  dans ce article , cln clr intéresser à le recherche des point lesplus intéressant au sens de le ordre de Pareto , i.eevard , à le évaluation de requête « skyline » , dans un jeu de donnée présenter un anomalie . ilimp ne être pas rareque le donnée , de petit annonce par exemple , être peupler de erreur oud'exception qui pouvoir perturber le recherche des meilleur point car cellescisont susceptible de dominer le autre point . le approche présenter viser àcalculer le requête skylin malgré le présence de ce exception , sans pourautant cla écarter définitivement , et à présenter graphiquement le résultat defaçon à identifier rapidement le point de intérêt et le anomalie potentiel . 	Hélène Jaudoin, Olivier Pivert, Daniel Rocacher	2014	@enssat.fr, @enssat.fr, @enssat.fr	1001944
108	Sélection de prototypes en vue d'une catégorisation de textes avec les K plus proches voisins : étude comparative	sélection de prototype en vue de un catégorisation de texte avec le K plus proche voisins : étude comparatif  le technique des K plus proche voisins ( KNN ) être un méthoded'apprentissage à base de instance , cln avoir être appliquer dans le catégorisationd texte depuis un nombreux année . en contraste avec son performance declassification , ilimp être reconnaître que ce algorithme être lent pendant le classificationd'un nouveau document . le technique de sélection de prototype être apparuescomme un méthode très compétitif pour améliorer le KNN grâce à laréduction des donnée . le étude contenir dans ce papier avoir pour objectif de analyserl'impact de ce méthode sur le performance de le classification de textesavec le algorithme KNN . 	Fatiha Barigou, Baya Naouel Barigou, Baghdad Atmani, Bouziane Beldjilali	2014	@gmail.com, @yahoo.fr	1001926
109	Sélection d'une méthode de classification multi-label pour un système interactif	sélection de un méthode de classification multi-labeau pour un système interactif  le objectif de ce article être de évaluer le capacité de 12 algorithmesde classification multi-labeau à apprendre , en peu de temps , avec peu de exemplesd'apprentissage . le résultat expérimental montrer un différence importantesentre le méthode analysé , pour le 3 mesure de évaluation choisir : Log-Loss , Ranking-Loss et temps de apprentissage  prédiction , et le meilleursrésultat être obtenir avec : multi-label k Nearest neighbours ( ML-kNN ) , suivide ensemble de Classifier Chains ( ECC ) et ensemble de Binary Relevance ( EBR ) . 	Noureddine Yacine Nair Benrekia, Pascale Kuntz, Franck Meyer	2014	@orange.com, @univ-nantes.fr	1001941
110	Sous échantillonnage et machine à noyaux élastiques pour la classification de données de mouvement capturé	sous échantillonnage et machine à noyau élastique pour le classification de donnée de mouvement capturer  dans le domaine de le reconnaissance de geste isoler , bon nombreun travaux clr être intéresser à le réduction de dimension sur le axe spatial pourréduire à le fois le complexité algorithmique et le variabilité des réalisationsgestuelle . ilimp être assez étonnant de constater que peu de ce méthode clr sontexplicitemer pencher sur le réduction de dimension sur le axe temporel . Enmatière de complexité , le réduction de dimension sur ce axe être un enjeu majeurquant à le utilisabilité de distance élastique en complexité quadratique . Parailleurs , le prise en compte de le variabilité sur ce axe demeurer un source avéréede gain de performance . pour tenter de apporter un éclairage en matière deréduction de dimension sur le axe temporel , cln présenter dans ce article uneapproche baser sur un sous échantillonnage temporel associer à le exploitationd'un apprentissage automatique à base de noyau élastique . cln montronsexpérimentalement , sur deux jeu de donnée très référencer dans le communautéet très opposer en matière de qualité de capture de mouvement , que ilimp estpossibler de réduire sensiblement le nombre de posture sur le trajectoire temporellestout en conserver , grâce à un noyau élastique , un performance dereconnaissance au niveau de le état de le art du domaine . le gain de complexitéobtenu rendre un tel approche éligible pour un application temps-réel . 	Pierre-François Marteau, Sylvie Gibet, Clément Reverdy	2014		1001928
111	Stratégies argumentatives pour la classification collaborative multicritères des connaissances cruciales	Stratégies argumentatif pour le classification collaboratif multicritère des connaissance crucial  dans ce article , cln proposer un approche argumentatif viser àautomatiser le résolution des conflit entre le décideur qui avoir un préférencescontradictoire lors de un classification multicritère collaboratif des connaissancescrucial . son étude expérimental avoir prouver que ce approche peutrésoudre jusque à 81 \pourcent des conflit et améliorer le qualité de approximation dedécideurs de un taux de 0.62 pour un récepteur et de 0.15 pour un initiateur . 	Sarra Bouzayane, Inès Saad	2014	@yahoo.fr, @france-bs.com	1001981
